,0
0,22
1,0
2,2
3,2
4,3
5,11
6,23
7,24
8,25
9,12
10,25
11,11
12,13
13,4
14,5
15,6
16,8
17,2
18,0
19,16
20,0
21,9
22,17
23,9
24,1
25,10
26,8
27,23
28,8
29,9
30,21
31,12
32,17
33,0
34,17
35,18
36,19
37,1
38,15
39,2
40,7
41,13
42,17
43,7
44,0
45,19
46,14
47,24
48,18
49,7
50,8
51,21
52,9
53,16
54,2
55,23
56,25
57,17
58,14
59,7
60,2
61,11
62,0
63,8
64,8
65,14
66,20
67,12
68,21
69,24
70,22
71,11
72,8
73,11
74,18
75,15
76,17
77,16
78,19
,precision,recall,f1-score,support
0,0.3333333333333333,0.5,0.4,4.0
1,0.5,0.5,0.5,2.0
2,0.5,0.75,0.6,4.0
3,0.0,0.0,0.0,3.0
4,1.0,1.0,1.0,1.0
5,1.0,0.5,0.6666666666666666,2.0
6,1.0,0.25,0.4,4.0
7,0.5,0.6666666666666666,0.5714285714285715,3.0
8,0.42857142857142855,1.0,0.6,3.0
9,0.25,0.25,0.25,4.0
10,0.0,0.0,0.0,3.0
11,0.6,0.75,0.6666666666666665,4.0
12,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
13,0.5,0.25,0.3333333333333333,4.0
14,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
15,0.5,0.3333333333333333,0.4,3.0
16,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
17,0.3333333333333333,0.5,0.4,4.0
18,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
19,0.3333333333333333,0.5,0.4,2.0
20,1.0,0.3333333333333333,0.5,3.0
21,0.0,0.0,0.0,3.0
22,0.5,0.3333333333333333,0.4,3.0
23,0.3333333333333333,0.5,0.4,2.0
24,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
25,0.0,0.0,0.0,3.0
accuracy,0.43037974683544306,0.43037974683544306,0.43037974683544306,0.43037974683544306
macro avg,0.4722527472527472,0.4455128205128205,0.42902930402930395,79.0
weighted avg,0.4580470162748643,0.43037974683544306,0.4119951778179627,79.0
