,0
0,5
1,4
2,4
3,5
4,8
5,0
6,5
7,0
8,6
9,7
10,2
11,5
12,5
13,5
14,2
15,9
16,9
17,5
18,4
19,4
20,4
21,0
22,5
23,5
24,9
25,5
26,9
27,4
28,7
29,2
30,5
31,8
32,9
33,8
34,1
35,9
36,7
37,1
38,4
39,0
40,5
41,5
42,5
43,1
44,5
45,1
46,1
47,8
48,5
49,5
50,0
51,5
52,1
53,0
54,5
55,9
56,9
57,5
58,0
59,5
60,9
61,5
62,9
63,8
64,5
65,5
66,9
67,9
68,0
69,4
70,4
71,1
72,5
73,9
74,9
75,8
76,4
77,0
,precision,recall,f1-score,support
0,0.7868852459016393,0.8727272727272727,0.8275862068965518,55.0
1,0.967741935483871,0.96,0.963855421686747,125.0
2,0.6923076923076923,0.6,0.6428571428571429,15.0
3,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
4,0.7777777777777778,0.7,0.7368421052631577,50.0
5,0.8524590163934426,0.9454545454545454,0.8965517241379309,55.0
6,0.9,0.6,0.7200000000000001,15.0
7,1.0,1.0,1.0,15.0
8,0.7619047619047619,0.96,0.8495575221238937,50.0
9,0.9107142857142857,0.8225806451612904,0.864406779661017,124.0
accuracy,0.8709055876685935,0.8709055876685935,0.8709055876685935,0.8709055876685935
macro avg,0.8583124048816805,0.8394095796676442,0.8434990235959774,519.0
weighted avg,0.8746223317129619,0.8709055876685935,0.869477443367853,519.0
