,0
0,11
1,13
2,9
3,25
4,15
5,10
6,1
7,12
8,12
9,14
10,15
11,25
12,2
13,3
14,0
15,8
16,17
17,11
18,24
19,10
20,13
21,22
22,4
23,2
24,10
25,14
26,25
27,25
28,16
29,1
30,3
31,12
32,16
33,12
34,22
35,8
36,12
37,12
38,15
39,13
40,3
41,12
42,6
43,16
44,1
45,22
46,12
47,7
48,1
49,9
50,25
51,4
52,4
53,12
54,6
55,15
56,17
57,20
58,1
59,6
60,10
61,12
62,17
63,21
64,1
65,5
66,1
67,17
68,12
69,14
70,19
71,12
72,25
73,13
74,7
75,0
76,17
77,9
,precision,recall,f1-score,support
0,0.5,0.5,0.5,4.0
1,0.3333333333333333,1.0,0.5,2.0
2,1.0,0.75,0.8571428571428571,4.0
3,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
4,1.0,0.0,0.0,1.0
5,1.0,0.5,0.6666666666666666,2.0
6,0.6666666666666666,0.5,0.5714285714285715,4.0
7,1.0,0.3333333333333333,0.5,3.0
8,1.0,1.0,1.0,3.0
9,1.0,0.5,0.6666666666666666,4.0
10,0.5,0.3333333333333333,0.4,3.0
11,1.0,0.75,0.8571428571428571,4.0
12,0.2857142857142857,0.6666666666666666,0.4,3.0
13,0.6,0.75,0.6666666666666665,4.0
14,1.0,1.0,1.0,3.0
15,1.0,0.6666666666666666,0.8,3.0
16,0.6,1.0,0.7499999999999999,3.0
17,0.5,0.75,0.6,4.0
18,1.0,0.6666666666666666,0.8,3.0
19,1.0,1.0,1.0,2.0
20,1.0,1.0,1.0,3.0
21,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
22,0.75,1.0,0.8571428571428571,3.0
23,1.0,0.5,0.6666666666666666,2.0
24,1.0,0.6666666666666666,0.8,3.0
25,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
accuracy,0.6962025316455697,0.6962025316455697,0.6962025316455697,0.6962025316455697
macro avg,0.7975274725274725,0.685897435897436,0.6869047619047619,79.0
weighted avg,0.7865883062085594,0.6962025316455697,0.7020795660036167,79.0
